"Url","SharingBefore","SharingAfter","Status","Error"
"https://samstack.sharepoint.com/sites/SMLC-HQ-Staff","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-BR-Staff","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-MgmtAdmin","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-ITInfra","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-TechOps","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-BizOps","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-Finance","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/msteams_aabb57","ExternalUserSharingOnly","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-Policies","Disabled","Disabled","Set",""
"https://samstack.sharepoint.com/sites/SMLC-Templates","Disabled","Disabled","Set",""
