"Title","Services","LastModifiedDateTime"
"(Updated) Microsoft Teams: Distinguish invites among Attendee, Presenter, and Co-organizer emails","System.String[]","2026-06-10 16:18:07"
"(Updated) Microsoft Teams: Meeting Participants Can Request Collaborative Annotation Sessions","System.String[]","2026-05-13 16:22:01"
"(Updated) Microsoft Teams: New user setting to view incoming calls in a small window","System.String[]","2026-06-15 17:17:53"
"(Updated) DNS Provisioning Change","System.String[]","2026-02-02 21:52:05"
"(Updated) Microsoft Teams: Specify who can manage the screen in town halls","System.String[]","2025-08-08 19:22:03"
"(Updated) Microsoft Teams: Preview changes before making them visible to attendees with ""Manage what attendees see""","System.String[]","2025-09-03 14:19:07"
"(Updated) Changes to how users install Microsoft 365 apps from the Microsoft 365 Copilot app","System.String[]","2026-01-30 17:41:32"
"Microsoft Viva Engage: Updated email subscription management","System.String[]","2025-05-05 23:16:33"
"Microsoft 365 admin center: Usage reports to manage metered consumption costs for Microsoft 365 Copilot Chat (preview)","System.String[]","2026-03-23 22:03:40"
"(Updated) SharePoint Alerts retirement","System.String[]","2026-06-15 23:21:18"
"(Updated) Microsoft Teams: Wifi check-in: automatically update work location by connecting to a Wi-Fi network","System.String[]","2026-06-03 20:07:29"
"(Updated) Microsoft Teams: Rule-based enablement of Microsoft 365 third-party apps in the Teams admin center","System.String[]","2026-05-27 17:16:44"
"(Updated) Microsoft Teams: Enhanced peripheral data in Pro Management portal reports for BYOD spaces","System.String[]","2026-06-23 16:06:07"
"(Updated) Microsoft Outlook for iOS/Android: Improved Contacts with profile enrichment and duplicate management","System.String[]","2026-06-08 16:23:23"
"Microsoft Teams on the web: New Private Preview for Sign in with Apple and Google for consumers may affect enterprise","System.String[]","2026-03-13 18:33:35"
"Product transitions to the cloud.microsoft domain – June 2025","System.String[]","2025-07-03 23:33:28"
"(Updated) Updates to custom scripting in sites and Classic Publishing site creation","System.String[]","2026-01-29 17:41:22"
"(Updated) Microsoft Outlook for Windows: Add attachments while offline","System.String[]","2026-06-05 21:41:55"
"(Updated) External workbook links to blocked file types will be disabled by default","System.String[]","2025-11-25 19:38:22"
"(Updated) Please update Microsoft 365 Office apps to a version higher than 16.0.18827.20202","System.String[]","2025-12-12 17:32:32"
"(Updated) Microsoft Teams: Private channels increased limits and transition to group compliance","System.String[]","2026-06-03 16:50:16"
"Limiting onmicrosoft domain usage for sending emails","System.String[]","2025-08-29 00:28:07"
"Microsoft SharePoint Online: Tenant rename General Availability (GA) for tenants with up to 500K sites","System.String[]","2025-09-02 23:21:41"
"(Updated) Rewrite with Microsoft 365 Copilot Chat coming soon to Edge for Business users","System.String[]","2026-06-25 16:11:53"
"(Updated) Microsoft 365 admin center - Usage reports: Agent usage (preview)","System.String[]","2026-05-08 20:34:37"
