"Title","Url","Template","StorageUsageCurrent","SharingCapability"
"","https://samstack-my.sharepoint.com/","SPSMSITEHOST#0","1","Disabled"
"Communication site","https://samstack.sharepoint.com/","SitePagePublishing#0","1","ExternalUserAndGuestSharing"
"","https://samstack.sharepoint.com/search","SRCHCEN#0","1","Disabled"
"All Company","https://samstack.sharepoint.com/sites/allcompany","GROUP#0","1","ExternalUserSharingOnly"
"SMLC - Knowledge Base","https://samstack.sharepoint.com/sites/msteams_aabb57","GROUP#0","1","Disabled"
"Nackademin","https://samstack.sharepoint.com/sites/Nackademin","GROUP#0","1","ExternalUserSharingOnly"
"SMLC-Admins","https://samstack.sharepoint.com/sites/SMLC-Admins","GROUP#0","1","ExternalUserSharingOnly"
"SMLC-All-Staff","https://samstack.sharepoint.com/sites/SMLC-All-Staff","GROUP#0","1","ExternalUserSharingOnly"
"SMLC-BizOps","https://samstack.sharepoint.com/sites/SMLC-BizOps","GROUP#0","1","Disabled"
"SMLC-BR-Staff","https://samstack.sharepoint.com/sites/SMLC-BR-Staff","GROUP#0","1","Disabled"
"SMLC-FieldOps","https://samstack.sharepoint.com/sites/SMLC-FieldOps","GROUP#0","1","ExternalUserSharingOnly"
"SMLC - Finance","https://samstack.sharepoint.com/sites/SMLC-Finance","GROUP#0","1","Disabled"
"SMLC - Finance-Compliance","https://samstack.sharepoint.com/sites/SMLC-Finance-Compliance","TEAMCHANNEL#1","0","ExternalUserSharingOnly"
"SMLC - Finance-Payroll","https://samstack.sharepoint.com/sites/SMLC-Finance-Payroll","TEAMCHANNEL#1","0","ExternalUserSharingOnly"
"SMLC-HelpDesk","https://samstack.sharepoint.com/sites/SMLC-HelpDesk","GROUP#0","1","ExternalUserSharingOnly"
"SMLC-HQ-Staff","https://samstack.sharepoint.com/sites/SMLC-HQ-Staff","GROUP#0","1","Disabled"
"SMLC-ITInfra","https://samstack.sharepoint.com/sites/SMLC-ITInfra","GROUP#0","1","Disabled"
"SMLC-MgmtAdmin","https://samstack.sharepoint.com/sites/SMLC-MgmtAdmin","GROUP#0","1","Disabled"
"SMLC - MgmtAdmin-HR Internal","https://samstack.sharepoint.com/sites/SMLC-MgmtAdmin-HRInternal","TEAMCHANNEL#1","0","ExternalUserSharingOnly"
"SMLC-Policies","https://samstack.sharepoint.com/sites/SMLC-Policies","SITEPAGEPUBLISHING#0","1","Disabled"
"SMLC-Support","https://samstack.sharepoint.com/sites/SMLC-Support","GROUP#0","1","ExternalUserSharingOnly"
"SMLC-TechOps","https://samstack.sharepoint.com/sites/SMLC-TechOps","GROUP#0","1","Disabled"
"SMLC-Templates","https://samstack.sharepoint.com/sites/SMLC-Templates","SITEPAGEPUBLISHING#0","1","Disabled"
